Seed,IGDX,IGDF,HV,PSP,Score
0,7.956785683455089,0.03914006946539131,-3.2829778165843884,3.8722426323994843,12.673667491531962
1,14.124827295739182,0.07185291940192656,-2.684864738809191,3.20329977056015,6.868344095049259
2,7.724536165641452,0.03638697228943253,-3.278055652546147,3.8608899009188384,13.642012406167204
3,7.914467238205173,0.03495290470304552,-3.100702363997619,3.6683154751182916,14.214098229555432
4,8.870875387155799,0.04275397902831875,-2.906083304125606,3.4507958330374753,11.609094542442302
5,7.794437900775932,0.036080545692969236,-3.1838753550469434,3.7540922093449915,13.763327209879671
6,7.7547043123683554,0.03760809373294772,-3.242441514100272,3.8188476670934834,13.19756294360108
7,7.74585639638394,0.03791808130927961,-3.1496949708851867,3.71988798952018,13.093918244641575
8,7.894366164359551,0.03566598777686512,-3.1293821075969683,3.694504794017399,13.926691983592177
9,7.8692051119505,0.036397980297041964,-2.9598315978344645,3.5085558202396556,13.65411630673546
10,11.064975542283596,0.054479744099301015,-2.7567347003931655,3.2851604377498695,9.091256315957965
11,8.127751474537385,0.03644777107360282,-3.080021008845568,3.641560751748433,13.627203429005553
12,8.38986697279393,0.040778205371379966,-3.063687162388777,3.6317297826941153,12.169711555000701
13,7.671158632393028,0.03555798711345843,-3.3530038054177354,3.944145449389809,13.958708554422342
14,8.113550630744076,0.039424852444706046,-3.2889716326602807,3.876462994653844,12.580105661388604
15,13.96507788811899,0.05244275389824258,-2.920157554623085,3.4511467096661828,9.431328576925429
16,7.611405983797351,0.03679025387590954,-3.2700826761085935,3.862644054886809,13.492548924761248
17,12.66200381032234,0.03582925891474959,-2.9763774912165,3.5223535350973973,13.852041886114057
18,9.685643932144592,0.04814925933691241,-3.0230357194798128,3.586250089539772,10.28846431730291
19,7.694825097177154,0.0346807932441197,-3.3005991392138077,3.893304456745324,14.316997542340019
20,10.735504453621745,0.05349726620355506,-2.792402479123299,3.32728131490921,9.258938681277156
