Seed,IGDX,IGDF,HV,PSP,Score
0,15.625257586650761,0.0728193524866365,-3.2006111967693656,3.599461716400857,6.745766575992209
1,14.651704066290685,0.07690016738569926,-3.109169922464261,3.486782166029227,6.388118384350215
2,13.111330896721778,0.06321680381972565,-3.4279096034271923,3.8385135554898047,7.781427816260779
3,15.063807302881878,0.07296274753012069,-3.766866458256251,4.216480143934175,6.702880733103131
4,13.28328665453039,0.06698956907989051,-3.5687413577889444,3.987341387000306,7.328064224371762
5,15.350810791320628,0.07569440581875159,-3.4862966888496594,3.9003381876061263,6.470069780160358
6,14.365913525789743,0.06611400215420819,-3.443369193281659,3.842851639509472,7.431380891380204
7,14.926403556563955,0.07988158916302993,-3.2874204739742403,3.6834305821424955,6.135265987883547
8,13.703194919022948,0.07443501549811318,-2.9162325967748997,3.3055270220844055,6.615773526930274
9,14.884914709709426,0.07614274597579812,-3.477742647418421,3.895219189728349,6.432435675062294
10,13.506602535558654,0.07305954442956325,-3.0090147675375185,3.3797017187538336,6.7376914044128595
11,14.419637864715703,0.07245625625627672,-3.484440244896426,3.8983880351233546,6.767059102914874
12,13.970075979642296,0.06430150909801628,-3.2836825702491295,3.6724391522000723,7.653930699651722
13,16.08802400423646,0.0674083174240121,-3.291415817494853,3.6888604584379165,7.291329025217033
14,15.704618977091414,0.08514408570813428,-3.1691365905805613,3.563289326875232,5.753443848747576
15,15.946936408017947,0.08381426503819306,-3.1623058282369367,3.5502911384562936,5.8466228580988995
16,15.54136413288436,0.07399802903350443,-3.04931455755354,3.418827694275758,6.644833660323808
17,13.555580627545865,0.07106627405755528,-3.043101657175071,3.420584482061089,6.927656592525263
18,16.248115033409885,0.0741040922917182,-2.9963223643717605,3.3812598227212702,6.636855207769746
19,13.293761490532024,0.07624521940216536,-3.0711400274494443,3.4686096860647995,6.448735496487882
20,15.760536937764181,0.07668177199242043,-3.2044773781362235,3.6035077379291556,6.399485777650725
